,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
29424,Premium Membership,6208.34,791.26,Poor Website,0
29425,Gold Membership,34302.46,799.56,Poor Customer Service,0
29426,Basic Membership,39725.88,660.61,Poor Product Quality,1
29427,Platinum Membership,9581.32,773.48,Products always in Stock,0
29428,No Membership,42678.4,695.83,Poor Product Quality,1
29429,Basic Membership,44056.91,654.52,Poor Product Quality,1
29430,Basic Membership,22764.19,684.81,Poor Product Quality,1
29431,Silver Membership,25397.92,704.87,Too many ads,1
29432,Silver Membership,37512.28,212.91205588120613,Too many ads,0
29433,No Membership,11623.12,574.46,Poor Customer Service,1
29434,No Membership,11801.41,521.78,Poor Customer Service,1
29435,Premium Membership,12544.2,763.54,Reasonable Price,0
29436,Platinum Membership,34335.7,790.91,Quality Customer Care,0
29437,Gold Membership,2824.56,1096.7502203621557,No reason specified,0
29438,No Membership,16145.59,1085.3845521525343,Too many ads,1
29439,Gold Membership,47484.73,804.6,Quality Customer Care,0
29440,Platinum Membership,59247.71,750.21,Products always in Stock,0
29441,No Membership,31067.81,687.95,Too many ads,1
29442,Gold Membership,21460.24,724.95,Quality Customer Care,0
29443,Silver Membership,22605.1,640.31,Poor Product Quality,1
29444,No Membership,12705.76,619.74,No reason specified,1
29445,Silver Membership,2070.76,1158.139223245601,Poor Website,0
29446,Platinum Membership,13693.65,712.99,User Friendly Website,0
29447,Gold Membership,35159.44,749.96,Poor Customer Service,0
29448,Basic Membership,19887.13,1131.1594598239706,Poor Product Quality,1
29449,No Membership,17332.39,641.83,Too many ads,1
29450,Silver Membership,10547.21,657.45,Too many ads,1
29451,Gold Membership,14577.72,1019.6341509395488,No reason specified,0
29452,No Membership,27540.41,614.4,Too many ads,1
29453,Premium Membership,96043.54,798.39,User Friendly Website,0
29454,Premium Membership,13937.63,700.01,Poor Customer Service,0
29455,Platinum Membership,28737.44,844.42,Products always in Stock,0
29456,Silver Membership,14922.73,0.0,Too many ads,0
29457,Platinum Membership,12853.5,765.48,Poor Website,0
29458,Premium Membership,34800.25,773.15,Poor Product Quality,0
29459,Platinum Membership,35990.37,741.33,Poor Customer Service,0
29460,No Membership,11419.31,663.49,Poor Customer Service,1
29461,Silver Membership,25702.49,1276.5832301228536,Poor Website,0
29462,Platinum Membership,67217.7,815.74,Reasonable Price,0
29463,Silver Membership,34265.91,664.62,Poor Website,1
29464,No Membership,32099.25,664.46,No reason specified,1
29465,Platinum Membership,42146.45,707.1,Poor Website,0
29466,Silver Membership,7607.23,684.48,Too many ads,1
29467,Basic Membership,6538.2,0.0,Poor Website,1
29468,Basic Membership,36230.16,614.54,Poor Product Quality,1
29469,Silver Membership,8750.55,0.0,Too many ads,0
29470,Platinum Membership,31937.99,799.09,Poor Customer Service,0
29471,Gold Membership,7196.73,716.83,Poor Website,0
29472,No Membership,4696.85,622.73,No reason specified,1
29473,Gold Membership,8562.71,0.0,Poor Customer Service,1
29474,Silver Membership,45593.98,0.0,No reason specified,0
29475,Silver Membership,33801.04,794.39,No reason specified,0
29476,Platinum Membership,2352.24,791.74,Too many ads,0
29477,Premium Membership,10379.83,755.16,No reason specified,0
29478,Basic Membership,28687.76,602.94,Too many ads,1
29479,Premium Membership,71522.48,815.29,Quality Customer Care,0
29480,Basic Membership,27396.98,614.08,No reason specified,1
29481,No Membership,10880.87,952.415843286263,Too many ads,1
29482,No Membership,9827.35,182.0027657061803,Poor Customer Service,1
29483,Platinum Membership,67299.54,771.75,Reasonable Price,0
29484,Basic Membership,44183.34,673.55,Poor Website,1
29485,Basic Membership,39042.65,670.68,Poor Product Quality,1
29486,Premium Membership,28762.42,701.75,No reason specified,0
29487,Basic Membership,24727.01,518.92,Poor Customer Service,1
29488,Premium Membership,1976.7,790.37,Products always in Stock,0
29489,Basic Membership,41841.94,532.39,No reason specified,1
29490,Basic Membership,23004.01,88.70321739213536,Poor Website,1
29491,No Membership,17486.7,541.26,Poor Website,1
29492,Silver Membership,20652.67,0.0,Poor Product Quality,0
29493,No Membership,16063.17,638.0,Too many ads,1
29494,Gold Membership,20849.01,736.7,Poor Customer Service,0
29495,Premium Membership,14916.69,1064.0723212879952,Poor Customer Service,0
29496,Gold Membership,40688.91,743.51,Too many ads,0
29497,No Membership,31420.83,759.7399940285209,Poor Customer Service,1
29498,Platinum Membership,49691.31,838.69,Quality Customer Care,0
29499,Basic Membership,5229.8,598.45,Poor Customer Service,1
29500,Premium Membership,43963.22,730.24,Too many ads,0
29501,Basic Membership,32288.5,616.98,Too many ads,1
29502,No Membership,27865.26,291.7479675909487,Too many ads,0
29503,Platinum Membership,38492.27,705.69,Poor Website,0
29504,Silver Membership,25846.93,0.0,Poor Product Quality,0
29505,No Membership,16839.84,528.25,No reason specified,1
29506,Silver Membership,11975.32,749.64,No reason specified,0
29507,Silver Membership,43958.1,0.0,Too many ads,0
29508,Platinum Membership,26621.91,759.72,Poor Customer Service,0
29509,Premium Membership,3298.73,422.048269278797,Poor Website,0
29510,No Membership,34639.61,694.61,Too many ads,1
29511,Platinum Membership,8595.39,711.98,Poor Customer Service,0
29512,Gold Membership,24441.0,791.57,Poor Product Quality,0
29513,No Membership,25870.87,1006.6946126311368,No reason specified,1
29514,Basic Membership,39586.16,0.0,No reason specified,1
29515,Premium Membership,77072.88,0.0,Quality Customer Care,0
29516,Premium Membership,23091.37,351.2192758184012,Poor Customer Service,0
29517,Basic Membership,15364.32,615.55,No reason specified,1
29518,Gold Membership,23638.55,439.8284684571208,Poor Product Quality,0
29519,Platinum Membership,7486.52,706.17,Too many ads,0
29520,No Membership,49965.86,599.32,Poor Product Quality,1
29521,Gold Membership,22015.52,0.0,Poor Website,0
29522,Premium Membership,5644.96,729.58,Reasonable Price,0
29523,Basic Membership,49970.61,691.94,Poor Product Quality,1
29524,Gold Membership,5521.17,626.71,Poor Product Quality,1
29525,No Membership,46583.84,624.22,Poor Website,1
29526,Gold Membership,26943.48,763.17,Poor Website,0
29527,Basic Membership,18205.47,401.36595274917664,Poor Customer Service,1
29528,Gold Membership,34216.06,719.69,Poor Website,0
29529,Premium Membership,25717.8,776.45,Poor Product Quality,0
29530,No Membership,37820.18,1165.655592087034,Poor Website,1
29531,Gold Membership,32280.55,661.37,No reason specified,1
29532,Silver Membership,44565.02,717.8,Poor Product Quality,1
29533,No Membership,23784.91,542.76,Too many ads,1
29534,Gold Membership,46648.83,671.33,No reason specified,1
29535,Gold Membership,24642.76,691.4,Poor Website,1
29536,Platinum Membership,43761.01,772.44,Poor Customer Service,0
29537,No Membership,13227.69,678.96,No reason specified,1
29538,Basic Membership,22490.37,627.89,Poor Website,1
29539,No Membership,39856.6,0.0,Poor Product Quality,1
29540,No Membership,30509.95,597.94,Poor Customer Service,1
29541,No Membership,10200.07,0.0,Poor Customer Service,1
29542,No Membership,23582.89,563.22,Poor Customer Service,1
29543,No Membership,4341.24,1088.1069769935073,No reason specified,1
29544,Basic Membership,45536.97,600.48,Poor Product Quality,1
29545,Platinum Membership,15216.39,761.07,Poor Website,0
29546,Gold Membership,38068.25,702.28,No reason specified,1
29547,Platinum Membership,2091.09,778.99,Too many ads,0
29548,No Membership,6373.14,307.8080072090971,No reason specified,1
29549,Gold Membership,40457.69,1205.173289487234,Poor Website,0
29550,Silver Membership,25733.61,1203.042716029629,Poor Website,1
29551,Basic Membership,31228.02,899.0246228866649,Poor Customer Service,1
29552,No Membership,45119.06,636.64,Poor Customer Service,1
29553,Silver Membership,16674.57,793.71,Poor Customer Service,0
29554,Basic Membership,26190.25,0.0,Too many ads,1
29555,Silver Membership,25772.52,783.48,Poor Customer Service,0
29556,Basic Membership,31147.22,617.93,Poor Website,1
29557,No Membership,37860.9,0.0,Poor Customer Service,1
29558,Gold Membership,31470.91,0.0,Poor Product Quality,0
29559,Basic Membership,19563.82,637.73,Poor Customer Service,1
29560,Platinum Membership,1894.38,176.95108491167068,Poor Product Quality,0
29561,No Membership,45731.82,634.43,Too many ads,1
29562,Silver Membership,28811.01,762.82,No reason specified,0
29563,Gold Membership,22606.74,827.58,Products always in Stock,0
29564,Premium Membership,1429.83,797.62,No reason specified,0
29565,Basic Membership,35272.78,635.0,No reason specified,1
29566,Premium Membership,21524.2,749.5,Poor Product Quality,0
29567,Platinum Membership,44658.99,391.93423765124857,Poor Product Quality,0
29568,Basic Membership,14462.25,548.32,Poor Product Quality,1
29569,No Membership,40458.27,660.44,Poor Product Quality,1
29570,Silver Membership,80944.81,709.92,Quality Customer Care,0
29571,Platinum Membership,38879.77,708.96,Too many ads,0
29572,Platinum Membership,43110.89,749.25,Poor Customer Service,0
29573,Gold Membership,31920.12,1077.4568612047449,Poor Product Quality,0
29574,Gold Membership,2544.67,0.0,Too many ads,0
29575,Gold Membership,34054.9,707.49,Too many ads,1
29576,No Membership,45521.47,505.32,Poor Website,1
29577,Platinum Membership,88035.86,715.71,Quality Customer Care,0
29578,No Membership,8577.73,670.2,Poor Product Quality,1
29579,No Membership,4439.84,22.291154114263573,Too many ads,1
29580,Gold Membership,80419.48,777.2,Products always in Stock,0
29581,Premium Membership,2161.04,751.21,User Friendly Website,0
29582,Basic Membership,43342.96,709.75,Poor Customer Service,1
29583,Premium Membership,53108.9,715.28,Products always in Stock,0
29584,No Membership,49785.5,0.0,Poor Customer Service,1
29585,Silver Membership,6253.51,444.7131507823226,Poor Website,0
29586,Silver Membership,38872.55,732.1,Too many ads,0
29587,Gold Membership,47442.24,742.02,Poor Website,0
29588,Silver Membership,20006.58,725.09,User Friendly Website,0
29589,Basic Membership,28112.81,551.86,Poor Customer Service,1
29590,Premium Membership,27394.1,781.33,Quality Customer Care,0
29591,Basic Membership,35283.8,0.0,Too many ads,1
29592,Gold Membership,68134.13,401.5057597767234,User Friendly Website,0
29593,Basic Membership,24844.0,652.04,Poor Customer Service,1
29594,Basic Membership,32030.87,1007.1752250648632,Poor Website,1
29595,Basic Membership,29114.92,521.7,Too many ads,1
29596,Basic Membership,33016.88,645.07,No reason specified,1
29597,Silver Membership,26426.69,0.0,Poor Website,1
29598,Silver Membership,49102.06,0.0,Poor Product Quality,0
29599,Gold Membership,7535.28,815.55,User Friendly Website,0
29600,Silver Membership,24352.71,744.19,Poor Product Quality,0
29601,Silver Membership,30469.88,649.59,Too many ads,1
29602,Basic Membership,26887.61,629.85,Poor Product Quality,1
29603,Silver Membership,66557.4,0.0,Products always in Stock,0
29604,Basic Membership,43527.96,0.0,Poor Product Quality,1
29605,Gold Membership,11778.37,705.7,Poor Product Quality,0
29606,Silver Membership,19032.96,749.07,Too many ads,0
29607,Premium Membership,21106.44,748.41,No reason specified,0
29608,No Membership,14084.21,698.89,Poor Customer Service,1
29609,Platinum Membership,1567.17,744.59,Poor Website,0
29610,Gold Membership,30434.04,0.0,Poor Product Quality,1
29611,No Membership,38538.94,366.466316109187,No reason specified,1
29612,Silver Membership,21187.39,643.97,Poor Website,1
29613,Gold Membership,49927.03,798.9,Poor Product Quality,0
29614,No Membership,38888.38,620.69,Poor Customer Service,1
29615,Basic Membership,44225.08,621.17,Poor Website,1
29616,Gold Membership,45790.7,1081.706739126163,Poor Customer Service,1
29617,No Membership,17759.0,584.76,No reason specified,1
29618,No Membership,37850.06,278.70784973198727,Poor Customer Service,1
29619,Gold Membership,2960.7,721.93,Poor Product Quality,0
29620,No Membership,44072.69,959.6735884865492,Poor Customer Service,0
29621,Gold Membership,44300.97,708.77,Too many ads,0
29622,Gold Membership,9251.89,784.92,No reason specified,0
29623,Premium Membership,24696.78,731.31,No reason specified,0
29624,Silver Membership,2463.04,699.37,Poor Website,1
29625,Silver Membership,39155.25,243.507728870604,Poor Customer Service,1
29626,Premium Membership,48110.13,776.93,No reason specified,0
29627,Platinum Membership,1977.29,792.16,Poor Customer Service,0
29628,No Membership,5924.46,613.84,Poor Customer Service,1
29629,Basic Membership,8085.46,605.14,Poor Product Quality,1
29630,Basic Membership,30465.76,563.73,Poor Website,1
29631,Silver Membership,42282.38,708.33,Too many ads,0
29632,Gold Membership,11496.13,0.0,Poor Website,1
29633,Gold Membership,17017.28,738.92,Poor Website,0
29634,Premium Membership,19787.02,767.0,No reason specified,0
29635,No Membership,7710.83,0.0,No reason specified,1
29636,Gold Membership,6044.09,727.1,Reasonable Price,0
29637,Premium Membership,26618.79,779.79,Too many ads,0
29638,Premium Membership,17337.7,489.0520875853936,Poor Website,0
29639,Gold Membership,6351.32,716.54,Poor Product Quality,1
29640,Silver Membership,40368.65,796.84,Poor Product Quality,0
29641,No Membership,12725.77,653.62,Poor Customer Service,1
29642,Basic Membership,45558.31,588.19,Poor Customer Service,1
29643,Gold Membership,9447.76,700.53,Poor Website,0
29644,Silver Membership,38561.52,674.0,Poor Product Quality,1
29645,Platinum Membership,34474.99,793.32,Poor Product Quality,0
29646,Silver Membership,99359.65,798.69,Products always in Stock,0
29647,Premium Membership,4957.87,704.08,No reason specified,0
29648,No Membership,47660.57,681.39,Too many ads,1
29649,Gold Membership,16031.27,0.0,Too many ads,0
29650,Gold Membership,52613.88,229.883489747811,Reasonable Price,0
29651,Platinum Membership,14972.61,706.31,Poor Website,0
29652,Gold Membership,24746.74,456.053999429731,Too many ads,0
29653,Silver Membership,39739.39,300.7594694418925,No reason specified,0
29654,Gold Membership,6636.53,780.64,No reason specified,0
29655,Silver Membership,23562.67,728.95,Poor Website,0
29656,Silver Membership,16056.94,717.99,No reason specified,1
29657,Silver Membership,24231.82,625.33,Poor Product Quality,1
29658,Gold Membership,71637.2,0.0,User Friendly Website,0
29659,No Membership,31731.19,612.17,Too many ads,1
29660,Premium Membership,49870.31,782.31,No reason specified,0
29661,Silver Membership,31059.55,798.42,Poor Customer Service,0
29662,Platinum Membership,10033.78,736.28,No reason specified,0
29663,Silver Membership,81673.01,770.79,Quality Customer Care,0
29664,No Membership,16623.99,402.8886583848155,Poor Website,1
29665,Basic Membership,1875.18,474.5169703038447,Too many ads,1
29666,No Membership,13585.4,677.22,No reason specified,0
29667,Gold Membership,28030.84,610.52,Poor Website,1
29668,Premium Membership,3728.2,840.79,Products always in Stock,0
29669,Gold Membership,36512.62,779.15,Poor Product Quality,0
29670,No Membership,8398.22,524.8,Poor Customer Service,1
29671,No Membership,19071.36,680.3,Poor Product Quality,1
29672,Basic Membership,9714.08,707.23,Poor Customer Service,1
29673,Basic Membership,35891.41,296.0943285051157,No reason specified,1
29674,No Membership,44778.21,694.24,Poor Customer Service,1
29675,Premium Membership,53261.98,716.17,User Friendly Website,0
29676,No Membership,36167.95,698.57,Poor Website,1
29677,Platinum Membership,31851.0,793.25,Poor Product Quality,0
29678,Gold Membership,45734.52,969.0182483917037,Poor Product Quality,1
29679,Silver Membership,42824.82,661.91,Poor Website,1
29680,Basic Membership,38154.03,373.15011618537454,Too many ads,1
29681,Premium Membership,26795.33,794.5,Poor Product Quality,0
29682,Silver Membership,11868.41,643.26,Poor Customer Service,1
29683,Silver Membership,11295.17,705.71,No reason specified,1
29684,Basic Membership,39082.78,614.51,Poor Product Quality,1
29685,No Membership,13699.92,645.74,Poor Product Quality,1
29686,No Membership,10231.34,683.97,Poor Website,1
29687,Platinum Membership,69768.78,758.3,Products always in Stock,0
29688,Basic Membership,4992.57,651.6,Poor Website,0
29689,Gold Membership,951.91,0.0,Poor Customer Service,0
29690,Platinum Membership,43083.53,724.04,Poor Customer Service,0
29691,Silver Membership,38730.39,718.48,Poor Customer Service,0
29692,No Membership,16486.05,0.0,No reason specified,1
29693,Basic Membership,40418.49,139.1853754506247,Too many ads,1
29694,Gold Membership,16656.89,456.93004602531687,No reason specified,0
29695,Basic Membership,15000.61,1365.5688154810914,Poor Website,1
29696,No Membership,1089.78,528.99,Poor Customer Service,1
29697,Platinum Membership,18846.96,771.1,No reason specified,0
29698,Gold Membership,3281.85,0.0,Poor Website,0
29699,No Membership,5201.32,1084.2005759411682,Poor Website,1
29700,Gold Membership,6537.84,0.0,Poor Customer Service,0
29701,Silver Membership,42579.69,708.01,No reason specified,1
29702,Gold Membership,7210.57,686.09,Poor Website,1
29703,Premium Membership,47594.53,739.1,Reasonable Price,0
29704,Silver Membership,14721.79,721.68,No reason specified,0
29705,Platinum Membership,14180.09,788.89,Poor Website,0
29706,No Membership,14700.99,521.11,No reason specified,1
29707,Gold Membership,20620.16,620.96,Poor Customer Service,1
29708,Basic Membership,9521.22,651.64,Too many ads,1
29709,Silver Membership,10877.64,438.2709258886181,Products always in Stock,0
29710,Basic Membership,48927.66,857.6162468395768,No reason specified,1
29711,Silver Membership,36252.53,1185.9111773722452,Quality Customer Care,0
29712,No Membership,1106.44,0.0,Too many ads,1
29713,No Membership,13286.92,0.0,Poor Website,1
29714,Basic Membership,28287.46,508.49,Too many ads,1
29715,No Membership,21189.49,665.94,Poor Customer Service,1
29716,Basic Membership,24120.21,604.05,Poor Product Quality,1
29717,No Membership,14626.96,656.79,Poor Customer Service,1
29718,Gold Membership,2191.75,763.88,Reasonable Price,0
29719,Silver Membership,9036.37,771.24,Too many ads,0
29720,Gold Membership,8966.32,1178.1126895739512,No reason specified,0
29721,Premium Membership,99319.7,733.89,Quality Customer Care,0
29722,Silver Membership,95352.33,788.75,User Friendly Website,0
29723,Premium Membership,56370.24,820.94,User Friendly Website,0
29724,Gold Membership,85258.48,750.12,Quality Customer Care,0
29725,Basic Membership,44510.2,696.89,No reason specified,1
29726,Platinum Membership,80328.98,817.24,Products always in Stock,0
29727,Platinum Membership,27631.59,780.53,No reason specified,0
29728,No Membership,12149.31,688.01,Poor Customer Service,1
29729,Platinum Membership,21602.22,751.36,Poor Website,0
29730,Gold Membership,99587.68,752.84,Quality Customer Care,0
29731,Basic Membership,29233.74,0.0,Poor Customer Service,1
29732,Silver Membership,28531.65,741.07,Poor Customer Service,0
29733,No Membership,20239.7,0.0,Poor Website,1
29734,No Membership,6877.77,955.8784125794476,No reason specified,1
29735,Silver Membership,25808.22,743.4,Poor Website,0
29736,No Membership,16031.28,681.78,No reason specified,1
29737,Platinum Membership,5575.95,717.11,No reason specified,0
29738,Platinum Membership,34694.22,731.31,Too many ads,0
29739,Silver Membership,28833.45,0.0,Poor Website,0
29740,Silver Membership,1782.81,687.78,Poor Website,1
29741,Basic Membership,1858.02,617.12,No reason specified,0
29742,Basic Membership,25244.8,670.5,No reason specified,1
29743,Premium Membership,28529.44,775.38,Too many ads,0
29744,Basic Membership,30210.6,504.38,Too many ads,1
29745,Basic Membership,47433.42,589.75,No reason specified,1
29746,Gold Membership,38866.99,778.79,Too many ads,0
29747,No Membership,31308.36,586.77,Poor Website,1
29748,Silver Membership,12157.67,184.7040346264928,Poor Customer Service,0
29749,Basic Membership,1319.79,556.07,Poor Website,1
29750,Gold Membership,47162.44,662.75,Too many ads,1
29751,Gold Membership,26773.15,633.58,Poor Website,1
29752,No Membership,5245.62,689.49,No reason specified,1
29753,Premium Membership,71707.27,771.66,Products always in Stock,0
29754,Platinum Membership,55915.19,808.21,Reasonable Price,0
29755,Gold Membership,40265.12,798.56,Reasonable Price,0
29756,Silver Membership,42309.95,396.87168329063866,Quality Customer Care,0
29757,No Membership,35327.81,565.28,Too many ads,1
29758,No Membership,41220.43,654.71,Poor Customer Service,1
29759,Silver Membership,24174.43,715.42,Too many ads,1
29760,Basic Membership,48455.53,561.37,No reason specified,1
29761,Gold Membership,6970.6,764.78,Poor Website,0
29762,No Membership,1368.27,0.0,Poor Website,1
29763,Basic Membership,11732.73,654.07,Poor Website,1
29764,Silver Membership,7475.03,753.16,User Friendly Website,0
29765,No Membership,47681.37,359.70462812406214,Poor Website,1
29766,Premium Membership,40013.27,715.54,Poor Website,0
29767,Silver Membership,61098.89,756.34,User Friendly Website,0
29768,Silver Membership,27980.6,380.8953188192941,No reason specified,0
29769,No Membership,29408.59,659.42,Poor Product Quality,1
29770,Gold Membership,6664.04,731.59,User Friendly Website,0
29771,Silver Membership,26709.78,384.4351737169243,Too many ads,0
29772,No Membership,21195.03,658.54,Poor Website,1
29773,Basic Membership,41964.61,619.94,Too many ads,1
29774,No Membership,43804.25,630.37,Poor Customer Service,1
29775,Silver Membership,21176.73,602.96,Too many ads,1
29776,Silver Membership,60614.6,787.94,User Friendly Website,0
29777,Silver Membership,8676.65,652.74,No reason specified,1
29778,Premium Membership,36079.92,709.64,Poor Website,0
29779,Basic Membership,23473.2,182.1703072394896,Poor Customer Service,1
29780,Platinum Membership,28480.77,0.0,No reason specified,0
29781,Gold Membership,23406.21,0.0,Too many ads,1
29782,Platinum Membership,43691.76,786.58,Products always in Stock,0
29783,Basic Membership,2189.12,656.13,Poor Website,1
29784,Basic Membership,7489.31,907.9418430699398,Poor Customer Service,1
29785,Premium Membership,32899.42,474.4519817468732,Poor Website,0
29786,Silver Membership,16040.51,718.18,Poor Product Quality,1
29787,Gold Membership,49228.67,639.28,Too many ads,1
29788,Gold Membership,32510.32,724.95,Poor Customer Service,0
29789,Silver Membership,33680.03,625.72,Poor Product Quality,1
29790,No Membership,43896.06,330.07787159228764,Poor Customer Service,1
29791,Silver Membership,78890.58,797.32,Reasonable Price,0
29792,Gold Membership,26964.1,722.64,Too many ads,0
29793,Premium Membership,9612.55,785.4,Too many ads,0
29794,Basic Membership,29029.06,673.93,Poor Website,1
29795,Basic Membership,39800.0,601.7,Poor Customer Service,1
29796,Platinum Membership,49330.19,732.82,Poor Product Quality,0
29797,Platinum Membership,46156.69,725.46,Poor Customer Service,0
29798,Gold Membership,9010.48,721.73,No reason specified,0
29799,Platinum Membership,40717.39,722.69,Poor Customer Service,0
29800,Basic Membership,45927.16,40.078375457395616,Poor Customer Service,1
29801,Premium Membership,45820.58,777.14,Poor Product Quality,0
29802,Basic Membership,39026.66,0.0,Poor Product Quality,1
29803,No Membership,918.88,640.98,No reason specified,1
29804,Silver Membership,38797.01,1046.0804083622927,No reason specified,1
29805,Premium Membership,24516.05,805.22,Products always in Stock,0
29806,Gold Membership,27291.72,710.34,Poor Customer Service,0
29807,Premium Membership,51811.44,1079.3719616308824,Quality Customer Care,0
29808,Platinum Membership,40556.51,701.39,Too many ads,0
29809,Platinum Membership,3724.62,752.99,Poor Product Quality,0
29810,Platinum Membership,25708.74,756.94,Too many ads,0
29811,Silver Membership,49017.19,695.34,Too many ads,1
29812,Basic Membership,18843.06,710.28,Poor Website,1
29813,Basic Membership,6648.06,572.62,Poor Website,1
29814,Silver Membership,12387.36,727.16,Poor Customer Service,0
29815,No Membership,10069.22,0.0,Poor Website,1
29816,No Membership,26607.81,689.02,Poor Product Quality,1
29817,No Membership,41295.62,651.37,No reason specified,1
29818,Silver Membership,48971.76,791.6,Poor Customer Service,0
29819,Gold Membership,20337.45,782.45,User Friendly Website,0
29820,Platinum Membership,5424.54,0.0,Poor Customer Service,0
29821,No Membership,41335.32,683.21,No reason specified,1
29822,Silver Membership,24706.35,0.0,No reason specified,1
29823,Platinum Membership,76180.96,761.65,Quality Customer Care,0
29824,Platinum Membership,12155.6,782.46,Products always in Stock,0
29825,Gold Membership,33631.55,609.16,Poor Website,1
29826,Basic Membership,35143.44,628.84,Poor Product Quality,1
29827,Platinum Membership,17191.03,1057.7513560534326,Products always in Stock,0
29828,Gold Membership,12035.45,1023.6775117261,No reason specified,1
29829,No Membership,46427.3,614.71,Poor Website,1
29830,Platinum Membership,78638.45,750.7,Products always in Stock,0
29831,Silver Membership,31664.75,298.2968550008813,No reason specified,1
29832,Basic Membership,47842.0,0.0,Poor Product Quality,1
29833,Silver Membership,26559.83,727.69,No reason specified,0
29834,Gold Membership,35867.94,0.0,Poor Customer Service,0
29835,No Membership,33899.91,0.0,Poor Product Quality,0
29836,Gold Membership,11933.08,718.31,Poor Product Quality,0
29837,Gold Membership,39021.62,1123.4097767244907,Poor Product Quality,0
29838,Silver Membership,4279.16,706.65,Too many ads,1
29839,Basic Membership,37648.79,0.0,Poor Website,1
29840,Silver Membership,36640.13,694.42,Poor Website,1
29841,No Membership,2357.56,592.43,Poor Customer Service,1
29842,No Membership,33836.03,615.28,Poor Website,1
29843,Basic Membership,42609.21,692.33,Poor Website,1
29844,No Membership,18763.11,935.4406653247752,Too many ads,1
29845,Silver Membership,26656.57,0.0,Reasonable Price,0
29846,No Membership,18326.75,973.2812479117,Poor Product Quality,1
29847,Gold Membership,39813.59,1064.3843875807622,Poor Customer Service,1
29848,Gold Membership,6094.31,0.0,No reason specified,0
29849,No Membership,16429.79,674.72,No reason specified,1
29850,Premium Membership,62604.04,755.72,User Friendly Website,0
29851,Silver Membership,20445.71,780.96,Poor Product Quality,0
29852,Premium Membership,21302.25,723.32,No reason specified,0
29853,Basic Membership,30850.68,336.7173706792408,Poor Website,1
29854,Basic Membership,41382.49,0.0,No reason specified,1
29855,No Membership,9542.3,618.73,No reason specified,1
29856,Silver Membership,46843.22,715.93,Poor Customer Service,0
29857,Gold Membership,26313.67,674.72,Poor Product Quality,1
29858,Silver Membership,52581.84,0.0,Reasonable Price,0
29859,Gold Membership,31381.61,765.57,Poor Customer Service,0
29860,Basic Membership,30132.23,612.82,Poor Customer Service,1
29861,Premium Membership,31625.03,336.7660179922267,No reason specified,0
29862,No Membership,36745.44,586.91,Poor Product Quality,1
29863,Silver Membership,21777.02,1233.441535588122,Too many ads,1
29864,No Membership,31755.55,1007.614786406716,No reason specified,1
29865,Basic Membership,7753.08,674.61,Poor Customer Service,1
29866,Basic Membership,35861.84,244.9750910407306,Too many ads,1
29867,Basic Membership,35098.28,531.07,Too many ads,1
29868,No Membership,34840.57,897.4177527779486,Poor Website,1
29869,Basic Membership,43826.18,648.08,Poor Website,1
29870,Basic Membership,6491.24,535.36,Poor Website,1
29871,Platinum Membership,35597.41,714.14,Too many ads,0
29872,Silver Membership,33169.61,648.51,Poor Customer Service,1
29873,Basic Membership,13856.39,1019.5158961988416,Poor Website,1
29874,No Membership,13740.93,140.98645549566288,Too many ads,1
29875,Gold Membership,9735.11,478.0275686650286,Poor Product Quality,0
29876,Basic Membership,19744.27,200.3733749504508,Poor Website,1
29877,Premium Membership,92436.44,1345.5407600540923,Products always in Stock,0
29878,Basic Membership,15951.24,677.42,Poor Customer Service,1
29879,Gold Membership,41641.74,770.72,User Friendly Website,0
29880,No Membership,47822.35,0.0,Poor Customer Service,1
29881,Basic Membership,19215.23,235.58567561834,Poor Product Quality,1
29882,Gold Membership,10300.34,781.16,No reason specified,0
29883,Silver Membership,2815.38,397.4841014057543,Poor Product Quality,1
29884,No Membership,31489.65,617.43,No reason specified,0
29885,Gold Membership,7821.78,302.52804748577694,No reason specified,0
29886,Basic Membership,33038.49,586.24,No reason specified,1
29887,Silver Membership,14062.64,462.5284365912882,Poor Website,0
29888,Basic Membership,45965.52,693.54,Poor Product Quality,1
29889,Premium Membership,23962.06,307.6201655685903,Poor Website,0
29890,Platinum Membership,35196.62,1153.0308376895084,Poor Website,0
29891,Basic Membership,5415.97,866.8039020100442,Too many ads,1
29892,Basic Membership,3963.26,0.0,No reason specified,1
29893,Premium Membership,36953.6,0.0,Quality Customer Care,0
29894,Basic Membership,10110.31,0.0,Too many ads,1
29895,Premium Membership,33901.0,723.51,No reason specified,0
29896,No Membership,15297.05,627.6,Too many ads,1
29897,Platinum Membership,8273.94,759.2,Poor Website,0
29898,No Membership,44943.11,199.7581244322328,Poor Website,1
29899,No Membership,15925.56,509.69,Poor Product Quality,1
29900,Premium Membership,81064.62,765.68,Quality Customer Care,0
29901,Basic Membership,46186.53,688.73,Poor Product Quality,1
29902,Silver Membership,2946.92,986.0984112195296,Poor Product Quality,0
29903,Basic Membership,46864.33,0.0,Poor Customer Service,1
29904,Silver Membership,6237.04,1115.4943908072792,No reason specified,0
29905,No Membership,29365.51,1070.8011506997943,Poor Customer Service,1
29906,Silver Membership,27173.93,754.13,Too many ads,0
29907,Gold Membership,32776.66,690.03,Poor Customer Service,1
